"Rk","Season","Conf","W","L","W.L.","W.1","L.1","W.L..1","SRS","SOS","PTS","PTS.1","AP.Pre","AP.High","AP.Final","NCAA.Tournament","Seed","Coach.es."
31,"1990-91","ACC",32,7,0.821,11,3,0.786,24.9,10.62,87.7,73.4,6,5,6,"Won National Final",2,"Mike Krzyzewski (32-7)"
32,"1989-90","ACC",29,9,0.763,9,5,0.643,21.34,8.81,89.1,76.6,10,3,15,"Lost National Final",3,"Mike Krzyzewski (29-9)"
33,"1988-89","ACC",28,8,0.778,9,5,0.643,24.94,8.19,86.5,69.8,1,1,9,"Lost National Semifinal",2,"Mike Krzyzewski (28-8)"
34,"1987-88","ACC",28,7,0.8,9,5,0.643,23.33,8.38,83.8,68.8,15,4,5,"Lost National Semifinal",2,"Mike Krzyzewski (28-7)"
35,"1986-87","ACC",24,9,0.727,9,5,0.643,16.91,7.16,77.2,67.3,NA,12,17,"Lost Regional Semifinal",5,"Mike Krzyzewski (24-9)"
36,"1985-86","ACC",37,3,0.925,12,2,0.857,22.1,9.5,79.9,67.2,6,1,1,"Lost National Final",1,"Mike Krzyzewski (37-3)"
37,"1984-85","ACC",23,8,0.742,8,6,0.571,18.38,7.38,78.9,67.9,6,2,10,"Lost Second Round",3,"Mike Krzyzewski (23-8)"
38,"1983-84","ACC",24,10,0.706,7,7,0.5,11.86,6.92,77.2,72.3,NA,14,14,"Lost Second Round",3,"Mike Krzyzewski (24-10)"
39,"1982-83","ACC",11,17,0.393,3,11,0.214,2.92,6.42,76.7,80.6,NA,NA,NA,"",NA,"Mike Krzyzewski (11-17)"
40,"1981-82","ACC",10,17,0.37,4,10,0.286,1.2,7.17,64,70,NA,NA,NA,"",NA,"Mike Krzyzewski (10-17)"
41,"1980-81","ACC",17,13,0.567,6,8,0.429,10.17,7.11,69.9,66.9,NA,NA,NA,"",NA,"Mike Krzyzewski (17-13)"
